Strategy Combination,Avg Return(%),Avg MDD(%),Avg Sharpe,Avg Win Rate
Intraday_DojiVol_3.0x(0.4) + MA_Breakout_60(0.6),9.28,-6.19,-0.57,0.48
Intraday_DojiVol_3.0x(0.6) + MA_Breakout_60(0.4),8.05,-5.55,-0.83,0.48
Intraday_DojiVol_3.0x(0.4) + MA_Breakout_20(0.6),7.84,-8.73,-0.57,0.47
Intraday_DojiVol_3.0x(0.6) + MA_Breakout_20(0.4),6.12,-6.16,-1.1,0.47
Intraday_DojiVol_1.5x(1.0),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.4) + Intraday_DojiVol_2.0x(0.6),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.6) + Intraday_DojiVol_2.0x(0.4),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.8) + Intraday_DojiVol_2.0x(0.2),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.4) + Intraday_DojiVol_3.0x(0.6),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.6) + Intraday_DojiVol_3.0x(0.4),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.8) + Intraday_DojiVol_3.0x(0.2),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.8) + MA_Breakout_20(0.2),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.8) + MA_Breakout_60(0.2),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_1.5x(0.8) + RSI_14(0.2),4.89,-11.88,-0.6,0.47
Intraday_DojiVol_2.0x(0.4) + MA_Breakout_60(0.6),4.55,-11.03,-0.52,0.48
Intraday_DojiVol_2.0x(0.4) + MA_Breakout_20(0.6),3.45,-12.59,-0.48,0.47
MA_Breakout_60(0.8) + RSI_14(0.2),3.25,-7.14,-0.73,0.47
MA_Breakout_20(0.8) + RSI_14(0.2),3.15,-8.93,-0.68,0.46
Intraday_DojiVol_1.5x(0.2) + MA_Breakout_60(0.8),3.14,-7.14,-0.73,0.47
Intraday_DojiVol_2.0x(0.2) + MA_Breakout_60(0.8),3.14,-7.14,-0.73,0.47
Intraday_DojiVol_3.0x(0.2) + MA_Breakout_60(0.8),3.14,-7.14,-0.73,0.47
Intraday_DojiVol_1.5x(0.2) + MA_Breakout_20(0.8),3.03,-8.93,-0.68,0.46
Intraday_DojiVol_2.0x(0.2) + MA_Breakout_20(0.8),3.03,-8.93,-0.68,0.46
Intraday_DojiVol_3.0x(0.2) + MA_Breakout_20(0.8),3.03,-8.93,-0.68,0.46
Intraday_DojiVol_3.0x(1.0),3.03,-2.47,-1.9,0.48
Intraday_DojiVol_1.5x(0.2) + Intraday_DojiVol_3.0x(0.8),3.03,-2.47,-1.9,0.48
Intraday_DojiVol_2.0x(0.2) + Intraday_DojiVol_3.0x(0.8),3.03,-2.47,-1.9,0.48
Intraday_DojiVol_3.0x(0.8) + MA_Breakout_20(0.2),3.03,-2.47,-1.9,0.48
Intraday_DojiVol_3.0x(0.8) + MA_Breakout_60(0.2),3.03,-2.47,-1.9,0.48
Intraday_DojiVol_3.0x(0.8) + RSI_14(0.2),3.03,-2.47,-1.9,0.48
Intraday_DojiVol_2.0x(0.6) + MA_Breakout_60(0.4),2.87,-11.38,-0.59,0.47
MA_Breakout_20(0.4) + MA_Breakout_60(0.6),2.14,-10.18,-0.68,0.46
Intraday_DojiVol_1.5x(0.4) + MA_Breakout_60(0.6),1.53,-13.2,-0.54,0.47
Intraday_DojiVol_2.0x(0.6) + MA_Breakout_20(0.4),1.4,-12.35,-0.62,0.47
MA_Breakout_20(0.6) + MA_Breakout_60(0.4),1.15,-10.77,-0.69,0.46
Intraday_DojiVol_1.5x(0.4) + MA_Breakout_20(0.6),0.76,-14.9,-0.5,0.46
MA_Breakout_20(0.2) + MA_Breakout_60(0.8),0.57,-8.84,-0.76,0.47
MA_Breakout_60(1.0),-0.01,-8.97,-0.76,0.47
Intraday_DojiVol_1.5x(0.6) + MA_Breakout_60(0.4),-0.05,-13.68,-0.61,0.46
MA_Breakout_60(0.4) + RSI_14(0.6),-0.86,-20.75,-0.49,0.46
MA_Breakout_20(0.8) + MA_Breakout_60(0.2),-0.89,-10.78,-0.71,0.46
Intraday_DojiVol_1.5x(0.6) + MA_Breakout_20(0.4),-1.48,-14.64,-0.64,0.46
Intraday_DojiVol_2.0x(1.0),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_1.5x(0.2) + Intraday_DojiVol_2.0x(0.8),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_2.0x(0.4) + Intraday_DojiVol_3.0x(0.6),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_2.0x(0.6) + Intraday_DojiVol_3.0x(0.4),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_2.0x(0.8) + Intraday_DojiVol_3.0x(0.2),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_2.0x(0.8) + MA_Breakout_20(0.2),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_2.0x(0.8) + MA_Breakout_60(0.2),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_2.0x(0.8) + RSI_14(0.2),-1.48,-9.62,-1.03,0.46
Intraday_DojiVol_3.0x(0.4) + RSI_14(0.6),-1.92,-21.06,-0.52,0.45
Intraday_DojiVol_3.0x(0.6) + RSI_14(0.4),-1.98,-15.42,-0.61,0.45
MA_Breakout_20(0.4) + RSI_14(0.6),-2.01,-22.11,-0.52,0.45
MA_Breakout_20(1.0),-2.33,-11.58,-0.72,0.46
MA_Breakout_20(0.6) + RSI_14(0.4),-2.78,-16.91,-0.59,0.45
Intraday_DojiVol_1.5x(0.2) + RSI_14(0.8),-5.05,-22.92,-0.48,0.45
Intraday_DojiVol_2.0x(0.2) + RSI_14(0.8),-5.12,-22.91,-0.49,0.45
Intraday_DojiVol_3.0x(0.2) + RSI_14(0.8),-5.12,-22.91,-0.49,0.45
MA_Breakout_60(0.6) + RSI_14(0.4),-5.59,-16.69,-0.67,0.45
Intraday_DojiVol_2.0x(0.4) + RSI_14(0.6),-6.08,-23.25,-0.57,0.45
MA_Breakout_20(0.2) + RSI_14(0.8),-6.1,-23.42,-0.5,0.45
MA_Breakout_60(0.2) + RSI_14(0.8),-6.88,-23.83,-0.52,0.45
RSI_14(1.0),-7.04,-22.57,-0.46,0.45
Intraday_DojiVol_1.5x(0.4) + RSI_14(0.6),-8.28,-23.75,-0.59,0.45
Intraday_DojiVol_2.0x(0.6) + RSI_14(0.4),-8.32,-20.73,-0.71,0.44
Intraday_DojiVol_1.5x(0.6) + RSI_14(0.4),-8.74,-21.16,-0.69,0.44
